domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
MathIR action menu,A,mie70,grpo,greedy,12,4608,0.625,0.578125,0.71875,0.78125,0.5234375,0.6453125,0.5234375,0.78125,1,1
MathIR action menu,A,mie70,grpo,mean8,12,4608,0.62451171875,0.572265625,0.719970703125,0.78125,0.52001953125,0.643603515625,0.52001953125,0.78125,1,1
MathIR action menu,A,mie70,grpo,pass8,12,4608,0.6796875,0.6015625,0.73828125,0.78125,0.53125,0.66640625,0.53125,0.78125,1,1
MathIR action menu,A,mie70,grpo,distinct8,12,4608,0.6796875,0.6015625,0.73828125,0.78125,0.53125,0.66640625,0.53125,0.78125,1,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,greedy,0,0,0.0546875,0.0546875,0.0546875,0.0625,0.0625,0.0578125,0.0546875,0.0625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,mean8,0,0,0.035888671875,0.035888671875,0.035888671875,0.037841796875,0.037841796875,0.036669921875,0.035888671875,0.037841796875,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,pass8,0,0,0.21484375,0.21484375,0.21484375,0.2265625,0.2265625,0.21953125,0.21484375,0.2265625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,distinct8,0,0,0.21484375,0.21484375,0.21484375,0.234375,0.234375,0.22265625,0.21484375,0.234375,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,greedy,3,1152,0.2421875,0.2578125,0.3359375,0.234375,0.3671875,0.2875,0.234375,0.3671875,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,mean8,3,1152,0.201171875,0.207763671875,0.302978515625,0.211669921875,0.34619140625,0.253955078125,0.201171875,0.34619140625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,pass8,3,1152,0.46875,0.541015625,0.533203125,0.44140625,0.591796875,0.515234375,0.44140625,0.591796875,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,distinct8,3,1152,0.484375,0.548828125,0.544921875,0.44921875,0.591796875,0.523828125,0.44921875,0.591796875,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,greedy,6,2304,0.5625,0.640625,0.6796875,0.5546875,0.703125,0.628125,0.5546875,0.703125,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,mean8,6,2304,0.56787109375,0.6259765625,0.63671875,0.5380859375,0.66162109375,0.6060546875,0.5380859375,0.66162109375,0,1
